Yes Bank,91.20,5.15,5.98
IndusInd Bank,"1,412.85",75.55,5.65
IOC,139.30,5.80,4.34
Hero Motocorp,"2,356.10",97.30,4.31
Tata Steel,432.05,17.00,4.10
Yes Bank,91.30,5.20,6.04
IndusInd Bank,"1,413.00",76.10,5.69
Hero Motocorp,"2,356.20",96.85,4.29
Tata Steel,431.90,17.20,4.15
Sun Pharma,426.75,16.25,3.96
Zee Entertain,361.60,-19.50,-5.12
Axis Bank,674.10,-33.50,-4.73
Bharti Airtel,337.60,-8.15,-2.36
Titan Company,"1,056.35",-22.85,-2.12
Bharti Infratel,245.75,-3.80,-1.52
Axis Bank,674.40,-32.15,-4.55
Bharti Airtel,337.80,-7.80,-2.26
Reliance,"1,166.00",-14.55,-1.23
NTPC,126.50,-0.85,-0.67
Maruti Suzuki,"5,472.15",-35.20,-0.64
